,0
1043,Nosema ceranae
1044,Nothophaeocryptopus gaeumannii
1045,Obba rivulosa
1046,Obelidium mucronatum
1047,Ochroconis constricta
1048,Ogataea methanolica
1049,Ogataea parapolymorpha
1050,Ogataea polymorpha
1051,Oidiodendron maius
1052,Oliveonia pauxilla
1053,Omphalotus olearius
1054,Onnia scaura
1055,Onygena corvina
1056,Ophidiomyces ophiodiicola
1057,Ophiobolus disseminans
1058,Ophiocordyceps australis
1059,Ophiocordyceps bispora
1060,Ophiocordyceps camponoti-rufipedis
1061,Ophiocordyceps polyrhachis-furcata
1062,Ophiocordyceps sinensis
1063,Ophiocordyceps unilateralis
1064,Ophiognomonia clavigignenti-juglandacearum
1065,Ophiostoma novo-ulmi
1066,Ophiostoma piceae
1067,Ophiostoma piliferum
1068,Ordospora colligata
1069,Orpinomyces sp.
1070,Oudemansiella mucida
1071,Pachysolen tannophilus
1072,Paecilomyces hepiali
1073,Paecilomyces variotii
1074,Panaeolus papilionaceus
1075,Panellus stipticus
1076,Panus rudis
1077,Papiliotrema flavescens
1078,Papiliotrema laurentii
1079,Paracoccidioides brasiliensis
1080,Paracoccidioides lutzii
1081,Paracoccidioides sp.
1082,Paraconiothyrium sporulosum
1083,Paraphaeosphaeria sporulosa
1084,Paraphoma chrysanthemicola
1085,Paraphoma sp.
1086,Paraphysoderma sedebokerense
1087,Parasitella parasitica
1088,Parastagonospora nodorum
1089,Passalora fulva
1090,Patellaria atrata
1091,Paxillus adelphus
1092,Paxillus ammoniavirescens
1093,Paxillus involutus
1094,Paxillus rubicundulus
1095,Pecoramyces ruminatium
1096,Peltaster fructicola
1097,Penicilliopsis zonata
1098,Penicillium antarcticum
1099,Penicillium arizonense
1100,Penicillium biforme
1101,Penicillium bilaiae
1102,Penicillium brasilianum
1103,Penicillium brevicompactum
1104,Penicillium camemberti
1105,Penicillium canescens
1106,Penicillium capsulatum
1107,Penicillium carneum
1108,Penicillium chrysogenum
1109,Penicillium citrinum
1110,Penicillium coprophilum
1111,Penicillium decumbens
1112,Penicillium digitatum
1113,Penicillium expansum
1114,Penicillium fellutanum
1115,Penicillium flavigenum
1116,Penicillium freii
1117,Penicillium fuscoglaucum
1118,Penicillium glabrum
1119,Penicillium griseofulvum
1120,Penicillium italicum
1121,Penicillium janthinellum
1122,Penicillium lanosocoeruleum
1123,Penicillium nalgiovense
1124,Penicillium nordicum
1125,Penicillium occitanis
1126,Penicillium oxalicum
1127,Penicillium paneum
1128,Penicillium paxilli
1129,Penicillium polonicum
1130,Penicillium raistrickii
1131,Penicillium roqueforti
1132,Penicillium rubens
1133,Penicillium sclerotiorum
1134,Penicillium solitum
1135,Penicillium sp.
1136,Penicillium steckii
1137,Penicillium subrubescens
1138,Penicillium swiecickii
1139,Penicillium thymicola
1140,Penicillium verrucosum
1141,Penicillium vulpinum
1142,Peniophora sp.
1143,Periconia macrospinosa
1144,Periglandula ipomoeae
1145,Pestalotiopsis fici
1146,Pestalotiopsis sp.
1147,Pezoloma ericae
1148,Phaeoacremonium aleophilum
1149,Phaeoacremonium minimum
1150,Phaeoacremonium sp.
1151,Phaeomoniella chlamydospora
1152,Phaeosphaeria nodorum
1153,Phaeosphaeriaceae sp.
1154,Phaeotremella fagi
1155,Phaeotremella skinneri
1156,Phaffia rhodozyma
1157,Phanerochaete carnosa
1158,Phanerochaete chrysosporium
1159,Phascolomyces articulosus
1160,Phellinus ferrugineofuscus
1161,Phellinus lamaoensis
1162,Phellinus noxius
1163,Phialocephala scopiformis
1164,Phialocephala subalpina
1165,Phialophora americana
1166,Phialophora attae
1167,Phialophora verrucosa
1168,Phlebia brevispora
1169,Phlebia centrifuga
1170,Phlebiopsis gigantea
1171,Phlebopus portentosus
1172,Pholiota alnicola
1173,Pholiota conissans
1174,Phoma herbarum
1175,Phoma tracheiphila
1176,Phycomyces blakesleeanus
1177,Phycomyces nitens
1178,Phyllosticta capitalensis
1179,Phyllosticta citriasiana
1180,Phyllosticta citribraziliensis
1181,Phyllosticta citricarpa
1182,Phyllosticta citrichinaensis
1183,Phyllosticta sp.
1184,Pichia kudriavzevii
1185,Pichia membranifaciens
1186,Pichia pastoris
1187,Pichia stipitis
1188,Piedraia hortae
1189,Pilaira anomala
1190,Pilobolus umbonatus
1191,Piloderma croceum
1192,Piptocephalis cylindrospora
1193,Piriformospora indica
1194,Piromyces finnis
1195,Piromyces sp.
1196,Pisolithus microcarpus
1197,Pisolithus tinctorius
1198,Plectania melastoma
1199,Plectosphaerella cucumerina
1200,Pleomassaria siparia
1201,Pleosporales sp.
1202,Pleurotus eryngii
1203,Pleurotus ostreatus
1204,Pleurotus salmoneostramineus
1205,Pleurotus tuoliensis
1206,Plicaturopsis crispa
1207,Pluteus cervinus
1208,Pneumocystis carinii
1209,Pneumocystis jirovecii
1210,Pneumocystis murina
1211,Pochonia chlamydosporia
1212,Podospora anserina
1213,Podospora curvicolla
1214,Podospora didyma
1215,Polychaeton citri
1216,Polyplosphaeria fusca
1217,Polyporus arcularius
1218,Polyporus brumalis
1219,Polyporus squamosus
1220,Polytolypa hystricis
1221,Porodaedalea chrysoloma
1222,Porodaedalea niemelaei
1223,Porodaedalea pini
1224,Postia placenta
1225,Preussia sp.
1226,Priceomyces haplophilus
1227,Protomyces inouyei
1228,Protomyces lactucaedebilis
1229,Pseudocercospora (Mycosphaerella)
1230,Pseudocercospora fijiensis
1231,Pseudocercospora musae
1232,Pseudocercospora pini-densiflorae
1233,Pseudographis elatina
1234,Pseudogymnoascus destructans
1235,Pseudogymnoascus pannorum
1236,Pseudogymnoascus sp.
1237,Pseudogymnoascus verrucosus
1238,Pseudoloma neurophilia
1239,Pseudomassariella vexata
1240,Pseudomicrostroma glucosiphilum
1241,Pseudopyrenochaeta lycopersici
1242,Pseudovirgaria hyperparasitica
1243,Pseudozyma antarctica
1244,Pseudozyma hubeiensis
1245,Pseudozyma tsukubaensis
1246,Pterula gracilis
1247,Puccinia arachidis
1248,Puccinia coronata
1249,Puccinia graminis
1250,Puccinia horiana
1251,Puccinia psidii
1252,Puccinia sorghi
1253,Puccinia striiformis
1254,Puccinia triticina
1255,Punctularia strigosozonata
1256,Purpureocillium lilacinum
1257,Purpureocillium sp.
1258,Pycnoporus cinnabarinus
1259,Pycnoporus coccineus
1260,Pycnoporus puniceus
1261,Pycnoporus sanguineus
1262,Pyrenochaeta lycopersici
1263,Pyrenochaeta sp.
1264,Pyrenophora seminiperda
1265,Pyrenophora teres
1266,Pyrenophora tritici-repentis
1267,Pyronema confluens
1268,Pyronema omphalodes
1269,Rachicladosporium antarcticum
1270,Rachicladosporium sp.
1271,Radiomyces spectabilis
1272,Raffaelea albimanens
1273,Raffaelea ambrosiae
1274,Raffaelea arxii
1275,Raffaelea lauricola
1276,Raffaelea quercivora
1277,Raffaelea quercus-mongolicae
1278,Raffaelea sp.
1279,Raffaelea sulphurea
1280,Ramalina peruviana
1281,Ramaria rubella
1282,Ramicandelaber brevisporus
1283,Ramichloridium luteum
1284,Ramularia collo-cygni
1285,Ramularia endophylla
1286,Rasamsonia emersonii
1287,Reticulascus tulasneorum
1288,Rhinocladiella mackenziei
1289,Rhizoclosmatium globosum
1290,Rhizoctonia solani
1291,Rhizodiscina lignyota
1292,Rhizomucor miehei
1293,Rhizomucor pusillus
1294,Rhizomucor variabilis
1295,Rhizophagus irregularis
1296,Rhizophlyctis rosea
1297,Rhizopogon salebrosus
1298,Rhizopogon vesiculosus
1299,Rhizopogon vinicolor
1300,Rhizopus delemar
1301,Rhizopus microsporus
1302,Rhizopus oryzae
1303,Rhizopus stolonifer
1304,Rhizoscyphus ericae
1305,Rhodocollybia butyracea
1306,Rhodofomes roseus
1307,Rhodosporidium toruloides
1308,Rhodotorula glutinis
1309,Rhodotorula graminis
1310,Rhodotorula minuta
1311,Rhodotorula mucilaginosa
1312,Rhodotorula sp.
1313,Rhodotorula toruloides
1314,Rhynchosporium agropyri
1315,Rhynchosporium commune
1316,Rhynchosporium secalis
1317,Rhytidhysteron rufulum
1318,Rickenella fibula
1319,Rickenella mellea
1320,Rigidoporus microporus
1321,Rosellinia necatrix
1322,Rozella allomycis
1323,Russula brevipes
1324,Russula compacta
1325,Russula dissimulans
1326,Russula rugulosa
1327,Russula vinacea
1328,Rutstroemia echinophila
1329,Rutstroemia firma
1330,Rutstroemia sydowiana
1331,Saccharata proteae
1332,Saccharomyces arboricola
1333,Saccharomyces bayanus
1334,Saccharomyces cerevisiae
1335,Saccharomyces eubayanus
1336,Saccharomyces kudriavzevii
1337,Saccharomyces mikatae
1338,Saccharomyces paradoxus
1339,Saccharomyces pastorianus
1340,Saccharomyces sp.
1341,Saccharomyces uvarum
1342,Saccharomycetaceae sp.
1343,Saccharomycopsis fermentans
1344,Saccharomycopsis fibuligera
1345,Saccharomycopsis fodiens
1346,Saccharomycopsis malanga
1347,Saitoella complicata
1348,Saksenae oblongispora
1349,Saksenaea vasiformis
1350,Salmacisia buchloeana
1351,Sanghuangporus baumii
1352,Saprochaete clavata
1353,Sarcoscypha coccinea
1354,Sarocladium oryzae
1355,Scedosporium apiospermum
1356,Scedosporium aurantiacum
1357,Scedosporium boydii
1358,Scedosporium dehoogii
1359,Scheffersomyces lignosus
1360,Scheffersomyces shehatae
1361,Scheffersomyces sp.
1362,Scheffersomyces stipitis
1363,Schizophyllum commune
1364,Schizopora paradoxa
1365,Schizosaccharomyces cryophilus
1366,Schizosaccharomyces japonicus
1367,Schizosaccharomyces octosporus
1368,Schizosaccharomyces pombe
1369,Schizothecium vesticola
1370,Scleroderma citrinum
1371,Sclerogaster hysterangioides
1372,Sclerophora sanguinea
1373,Sclerotinia borealis
1374,Sclerotinia glacialis
1375,Sclerotinia homoeocarpa
1376,Sclerotinia sclerotiorum
1377,Sclerotium cepivorum
1378,Scytalidium lignicola
1379,Scytinostroma sp.
1380,Sebacina vermifera
1381,Septobasidium sp.
1382,Septoria musiva
1383,Septoria populicola
1384,Serendipita indica
1385,Serendipita sp.
1386,Serendipita vermifera
1387,Serpula himantioides
1388,Serpula lacrymans
1389,Setomelanomma holmii
1390,Setosphaeria turcica
1391,Shiraia sp.
1392,Sirobasidium intermedium
1393,Sistotremastrum niveocremeum
1394,Sistotremastrum suecicum
1395,Smittium culicis
1396,Smittium mucronatum
1397,Sodiomyces alkalinus
1398,Solicoccozyma phenolicus
1399,Solicoccozyma terricola
1400,Sordaria brevicollis
1401,Sordaria macrospora
1402,Sparassis latifolia
1403,Spathaspora arborariae
1404,Spathaspora girioi
1405,Spathaspora gorwiae
1406,Spathaspora hagerdaliae
1407,Spathaspora passalidarum
1408,Spathaspora sp.
1409,Spathaspora xylofermentans
1410,Spathularia flavida
1411,Sphaerobolus stellatus
1412,Sphaerulina musiva
1413,Sphaerulina populicola
1414,Spinellus fusiger
1415,Spizellomyces punctatus
1416,Sporidiobolus pararoseus
1417,Sporidiobolus salmonicolor
1418,Sporisorium iseilematis-ciliati
1419,Sporisorium reilianum
1420,Sporisorium scitamineum
1421,Sporobolomyces linderae
1422,Sporobolomyces roseus
1423,Sporodiniella umbellata
1424,Sporopachydermia lactativora
1425,Sporopachydermia quercuum
1426,Sporormia fimetaria
1427,Sporothrix brasiliensis
1428,Sporothrix globosa
1429,Sporothrix insectorum
1430,Sporothrix pallida
1431,Sporothrix schenckii
1432,Spraguea lophii
1433,Stachybotrys chartarum
1434,Stachybotrys chlorohalonata
1435,Stachybotrys elegans
1436,Stagonospora nodorum
1437,Stagonospora sp.
1438,Stagonosporopsis tanaceti
1439,Stanjemonium grisellum
1440,Starmerella bacillaris
1441,Starmerella bombicola
1442,Stemphylium lycopersici
1443,Stereum hirsutum
1444,Sugiyamaella americana
1445,Sugiyamaella lignohabitans
1446,Sugiyamaella xylanicola
1447,Suhomyces tanzawaensis
1448,Suillus americanus
1449,Suillus brevipes
1450,Suillus cothurnatus
1451,Suillus decipiens
1452,Suillus granulatus
1453,Suillus hirtellus
1454,Suillus luteus
1455,Suillus pictus
1456,Suillus subaureus
1457,Suillus tomentosus
1458,Symbiotaphrina buchneri
1459,Symbiotaphrina kochii
1460,Sympodiomyces attinorum
1461,Syncephalastrum monosporum
1462,Syncephalastrum racemosum
1463,Syncephalis fuscata
1464,Syncephalis plumigaleata
1465,Syncephalis pseudoplumigaleata
1466,Synchytrium endobioticum
1467,Taiwanofungus camphoratus
1468,Talaromyces aculeatus
1469,Talaromyces adpressus
1470,Talaromyces amestolkiae
1471,Talaromyces atroroseus
1472,Talaromyces borbonicus
1473,Talaromyces cellulolyticus
1474,Talaromyces islandicus
1475,Talaromyces leycettanus
1476,Talaromyces marneffei
1477,Talaromyces piceae
1478,Talaromyces pinophilus
1479,Talaromyces proteolyticus
1480,Talaromyces purpureogenus
1481,Talaromyces stipitatus
1482,Talaromyces verruculosus
1483,Talaromyces wortmannii
1484,Taphrina deformans
1485,Taphrina flavorubra
1486,Taphrina populina
1487,Taphrina wiesneri
1488,Taxomyces andreanae
1489,Teratosphaeria nubilosa
1490,Terfezia boudieri
1491,Terfezia claveryi
1492,Termitomyces sp.
1493,Testicularia cyperi
1494,Tetrapisispora blattae
1495,Tetrapisispora phaffii
1496,Thamnidium elegans
1497,Thamnocephalis sphaerospora
1498,Thanatephorus cucumeris
1499,Thelebolus microsporus
1500,Thelebolus stercoreus
1501,Thelephora ganbajun
1502,Thermoascus aurantiacus
1503,Thermoascus crustaceus
1504,Thermomucor indicae-seudaticae
1505,Thermomyces lanuginosus
1506,Thermothelomyces thermophila
1507,Thielavia antarctica
1508,Thielavia appendiculata
1509,Thielavia arenaria
1510,Thielavia hyrcaniae
1511,Thielavia terrestris
1512,Thielaviopsis musarum
1513,Thielaviopsis paradoxa
1514,Thielaviopsis punctulata
1515,Thozetella sp.
1516,Tilletia caries
1517,Tilletia controversa
1518,Tilletia horrida
1519,Tilletia indica
1520,Tilletia walkeri
1521,Tilletiaria anomala
1522,Tilletiopsis albescens
1523,Tilletiopsis sp.
1524,Tilletiopsis washingtonensis
1525,Tolypocladium inflatum
1526,Tolypocladium ophioglossoides
1527,Tolypocladium sp.
1528,Torpedospora radiata
1529,Torrubiella hemipterigena
1530,Tortispora caseinolytica
1531,Torulaspora delbrueckii
1532,Torulaspora microellipsoides
1533,Tothia fuscella
1534,Trachipleistophora hominis
1535,Trametes betulina
1536,Trametes cingulata
1537,Trametes cinnabarina
1538,Trametes coccinea
1539,Trametes gibbosa
1540,Trametes hirsuta
1541,Trametes ljubarskyi
1542,Trametes maxima
1543,Trametes meyenii
1544,Trametes polyzona
1545,Trametes pubescens
1546,Trametes sp.
1547,Trametes versicolor
1548,Trametopsis cervina
1549,Trematosphaeria pertusa
1550,Tremella encephala
1551,Tremella fuciformis
1552,Tremella mesenterica
1553,Trichaptum abietinum
1554,Trichodelitschia bisporula
1555,Trichoderma asperellum
1556,Trichoderma atroviride
1557,Trichoderma citrinoviride
1558,Trichoderma gamsii
1559,Trichoderma guizhouense
1560,Trichoderma hamatum
1561,Trichoderma harzianum
1562,Trichoderma koningii
1563,Trichoderma koningiopsis
1564,Trichoderma longibrachiatum
1565,Trichoderma parareesei
1566,Trichoderma pleuroti
1567,Trichoderma reesei
1568,Trichoderma virens
1569,Tricholoma matsutake
1570,Trichomonascus petasosporus
1571,Trichophaea hybrida
1572,Trichophyton benhamiae
1573,Trichophyton equinum
1574,Trichophyton interdigitale
1575,Trichophyton rubrum
1576,Trichophyton soudanense
1577,Trichophyton tonsurans
1578,Trichophyton verrucosum
1579,Trichophyton violaceum
1580,Trichosporon asahii
1581,Trichosporon chiarellii
1582,Trichosporon coremiiforme
1583,Trichosporon faecale
1584,Trichosporon guehoae
1585,Trichosporon inkin
1586,Trichosporon oleaginosus
1587,Trichosporon ovoides
1588,Trinosporium guianense
1589,Tritirachium sp.
1590,Truncatella angustata
1591,Trypethelium eluteriae
1592,Tsuchiyaea wingfieldii
1593,Tuber borchii
1594,Tuber melanosporum
1595,Tulasnella calospora
1596,Umbelopsis isabellina
1597,Umbelopsis ramanniana
1598,Umbelopsis sp.
1599,Umbilicaria muehlenbergii
1600,Umbilicaria pustulata
1601,Uncinocarpus reesii
1602,Uromyces viciae-fabae
1603,Usnea florida
1604,Ustilaginoidea virens
1605,Ustilago bromivora
1606,Ustilago cynodontis
1607,Ustilago esculenta
1608,Ustilago hordei
1609,Ustilago maydis
1610,Ustilago trichophora
1611,Ustilago vetiveriae
1612,Ustilago xerochloae
1613,Valetoniellopsis laxa
1614,Valsa mali
1615,Vanderwaltozyma polyspora
1616,Vanrija fragicola
1617,Vanrija humicola
1618,Vararia minispora
1619,Vavraia culicis
1620,Venturia carpophila
1621,Venturia effusa
1622,Venturia inaequalis
1623,Venturia pirina
1624,Venturia pyrina
1625,Verruconis gallopava
1626,Verruculina enalia
1627,Verticillium albo-atrum
1628,Verticillium alfalfae
1629,Verticillium dahliae
1630,Verticillium isaacii
1631,Verticillium klebahnii
1632,Verticillium longisporum
1633,Verticillium nonalfalfae
1634,Verticillium nubilum
1635,Verticillium tricorpus
1636,Verticillium zaregamsianum
1637,Violaceomyces palustris
1638,Vittaforma corneae
1639,Volvariella volvacea
1640,Vuilleminia comedens
1641,Wallemia ichthyophaga
1642,Wallemia mellicola
1643,Westerdykella ornata
1644,Wickerhamia fluorescens
1645,Wickerhamiella domercqiae
1646,Wickerhamomyces anomalus
1647,Wickerhamomyces ciferrii
1648,Wilcoxina mikolae
1649,Wolfiporia cocos
1650,Xanthophyllomyces dendrorhous
1651,Xanthoria parietina
1652,Xenasmatella vaga
1653,Xerocomus badius
1654,Xeromyces bisporus
1655,Xylaria hypoxylon
1656,Xylaria sp.
1657,Xylaria striata
1658,Xylariales sp.
1659,Xylona heveae
1660,Yamadazyma laniorum
1661,Yarrowia deformans
1662,Yarrowia keelungensis
1663,Yarrowia lipolytica
1664,Yarrowia sp.
1665,Zancudomyces culisetae
1666,Zasmidium angulare
1667,Zasmidium cellare
1668,Zasmidium citri-griseum
1669,Zopfia rhizophila
1670,Zychaea mexicana
1671,Zygoascus hellenicus
1672,Zygosaccharomyces bailii
1673,Zygosaccharomyces parabailii
1674,Zygosaccharomyces rouxii
1675,Zymoseptoria ardabiliae
1676,Zymoseptoria brevis
1677,Zymoseptoria passerinii
1678,Zymoseptoria pseudotritici
1679,Zymoseptoria tritici
1680,[Candida] aaseri
1681,[Candida] apicola
1682,[Candida] auris
1683,[Candida] boidinii
1684,[Candida] carpophila
1685,[Candida] ethanolica
1686,[Candida] glabrata
1687,[Candida] intermedia
1688,[Candida] ipomoeae
1689,[Candida] sorbophila
1690,[Candida] succiphila
1691,[Candida] tenuis
1692,[Cryptococcus] albidus
1693,[Nectria] haematococca
1694,fungal sp.
