,0
120,Aspergillus hancockii
121,Aspergillus heteromorphus
122,Aspergillus homomorphus
123,Aspergillus ibericus
124,Aspergillus indicus
125,Aspergillus indologenus
126,Aspergillus insolitus
127,Aspergillus japonicus
128,Aspergillus kawachii
129,Aspergillus lacticoffeatus
130,Aspergillus lentulus
131,Aspergillus luchuensis
132,Aspergillus multicolor
133,Aspergillus neoauricomus
134,Aspergillus neoechinulatus
135,Aspergillus neoniger
136,Aspergillus nidulans
137,Aspergillus niger
138,Aspergillus nomius
139,Aspergillus novofumigatus
140,Aspergillus ochraceoroseus
141,Aspergillus olivicola
142,Aspergillus oryzae
143,Aspergillus parasiticus
144,Aspergillus parvulus
145,Aspergillus penicilloides
146,Aspergillus persii
147,Aspergillus phoenicis
148,Aspergillus piperis
149,Aspergillus rambellii
150,Aspergillus recurvatus
151,Aspergillus restrictus
152,Aspergillus robustus
153,Aspergillus roseoglobulosus
154,Aspergillus ruber
155,Aspergillus saccharolyticus
156,Aspergillus sclerotiicarbonarius
157,Aspergillus sclerotioniger
158,Aspergillus sclerotiorum
159,Aspergillus sojae
160,Aspergillus sp.
161,Aspergillus stella-maris
162,Aspergillus stercoraria
163,Aspergillus steynii
164,Aspergillus sydowii
165,Aspergillus taichungensis
166,Aspergillus terreus
167,Aspergillus thermomutatus
168,Aspergillus triticus
169,Aspergillus tubingensis
170,Aspergillus turcosus
171,Aspergillus udagawae
172,Aspergillus undulatus
173,Aspergillus unguis
174,Aspergillus ustus
175,Aspergillus uvarum
176,Aspergillus vadensis
177,Aspergillus venezuelensis
178,Aspergillus versicolor
179,Aspergillus violaceofuscus
180,Aspergillus welwitschiae
181,Aspergillus wentii
182,Aspergillus westerdijkiae
183,Aspergillus zonatus
184,Athelia rolfsii
185,Atkinsonella hypoxylon
186,Atkinsonella texensis
187,Atractiellales rhizophila
188,Aulographum hederae
189,Aureobasidium melanogenum
190,Aureobasidium namibiae
191,Aureobasidium pullulans
192,Aureobasidium sp.
193,Aureobasidium subglaciale
194,Auricularia auricula-judae
195,Auricularia heimuer
196,Auricularia subglabra
197,Auriculariopsis ampla
198,Auriscalpium vulgare
199,Babjeviella inositovora
200,Backusella circina
201,Baeospora myosura
202,Balansia obtecta
203,Basidioascus undulatus
204,Basidiobolus heterosporus
205,Basidiobolus meristosporus
206,Basipetospora chlamydospora
207,Batrachochytrium dendrobatidis
208,Batrachochytrium salamandrivorans
209,Baudoinia compniacensis
210,Baudoinia panamericana
211,Beauveria bassiana
212,Beauveria rudraprayagi
213,Beverwykella pulmonaria
214,Bifiguratus adelaidae
215,Bimuria novae-zelandiae
216,Bipolaris cookei
217,Bipolaris maydis
218,Bipolaris oryzae
219,Bipolaris sorokiniana
220,Bipolaris victoriae
221,Bipolaris zeicola
222,Biscogniauxia nummularia
223,Bisporella sp.
224,Bjerkandera adusta
225,Blakeslea trispora
226,Blastobotrys (Arxula)
227,Blastocladiella britannica
228,Blastomyces dermatitidis
229,Blastomyces gilchristii
230,Blastomyces percursus
231,Blumeria graminis
232,Blyttiomyces helicus
233,Bolbitius vitellinus
234,Boletus edulis
235,Bombardia bombarda
236,Botryobasidium botryosum
237,Botryosphaeria dothidea
238,Botrytis cinerea
239,Botrytis paeoniae
240,Brettanomyces anomalus
241,Brettanomyces bruxellensis
242,Brettanomyces custersianus
243,Brettanomyces naardenensis
244,Bulgaria inquinans
245,Bullera alba
246,Byssochlamys sp.
247,Byssochlamys spectabilis
248,Byssoonygena ceratinophila
249,Byssothecium circinans
250,Cadophora malorum
251,Cadophora sp.
252,Cairneyella variabilis
253,Caliciopsis orientalis
254,Calocera cornea
255,Calocera viscosa
256,Calonectria leucothoes
257,Calonectria pseudonaviculata
258,Calonectria pseudoreteaudii
259,Caloscypha fulgens
260,Calosphaeria pulchella
261,Calycina herbarum
262,Candida albicans
263,Candida arabinofermentans
264,Candida bracarensis
265,Candida castellii
266,Candida dubliniensis
267,Candida glabrata
268,Candida maltosa
269,Candida nivariensis
270,Candida orthopsilosis
271,Candida parapsilosis
272,Candida psychrophila
273,Candida sojae
274,Candida sorboxylosa
275,Candida sp.
276,Candida tanzawaensis
277,Candida tenuis
278,Candida tropicalis
279,Candida versatilis
280,Cantharellus anzutake
281,Capniomyces stellatus
282,Capronia coronata
283,Capronia epimyces
284,Capronia semiimmersa
285,Catenaria anguillulae
286,Caulochytrium protostelioides
287,Cenococcum geophilum
288,Cephaloascus albidus
289,Cephaloascus fragrans
290,Ceraceosorus bombacis
291,Ceraceosorus guamensis
292,
293,Ceratobasidium sp.
294,Ceratocystiopsis brevicomis
295,Ceratocystiopsis minuta
296,Ceratocystis adiposa
297,Ceratocystis albifundus
298,Ceratocystis cacaofunesta
299,Ceratocystis eucalypticola
300,Ceratocystis fagacearum
301,Ceratocystis fimbriata
302,Ceratocystis harringtonii
303,Ceratocystis manginecans
304,Ceratocystis platani
305,Cercophora caudata
306,Cercophora newfieldiana
307,Cercophora scortea
308,Cercospora beticola
309,Cercospora canescens
310,Cercospora cf.
311,Cercospora sojina
